"Date","Price","Open","High","Low","Vol.","Change %"
"06/06/2021","14,290.0","14,295.0","14,325.0","14,295.0","0.12K","0.00%"
"06/05/2021","14,290.0","14,295.0","14,325.0","14,295.0","0.12K","0.00%"
"06/04/2021","14,290.0","14,295.0","14,325.0","14,295.0","0.12K","0.07%"
"06/03/2021","14,280.0","14,275.0","14,312.5","14,265.0","0.14K","0.04%"
"06/02/2021","14,275.0","14,265.0","14,292.5","14,247.5","0.17K","0.00%"
"06/01/2021","14,275.0","14,265.0","14,292.5","14,247.5","0.17K","0.00%"
"01/31/2009","11,380.0","11,340.0","11,385.0","11,340.0","","0.00%"
"01/30/2009","11,380.0","11,340.0","11,385.0","11,340.0","","0.57%"
"01/29/2009","11,315.0","11,330.0","11,330.0","11,315.0","","0.04%"
"01/28/2009","11,310.0","11,315.0","11,360.0","11,310.0","","0.09%"
"01/27/2009","11,300.0","11,210.0","11,305.0","11,210.0","","1.16%"
"01/26/2009","11,170.0","11,170.0","11,170.0","11,170.0","","0.00%"
"01/25/2009","11,170.0","11,170.0","11,170.0","11,170.0","","0.00%"
"01/24/2009","11,170.0","11,170.0","11,170.0","11,170.0","","0.00%"
"01/23/2009","11,170.0","11,205.0","11,305.0","11,170.0","","-0.49%"
"01/22/2009","11,225.0","11,225.0","11,245.0","11,200.0","","0.22%"
"01/21/2009","11,200.0","11,225.0","11,245.0","11,150.0","","0.45%"
"01/20/2009","11,150.0","11,200.0","11,275.0","11,150.0","","0.11%"
"01/19/2009","11,137.5","11,187.5","11,237.5","11,137.5","","0.16%"
"01/18/2009","11,120.0","11,150.0","11,190.0","11,100.0","","0.00%"
"01/17/2009","11,120.0","11,150.0","11,190.0","11,100.0","","0.00%"
"01/16/2009","11,120.0","11,150.0","11,190.0","11,100.0","","-0.04%"
"01/15/2009","11,125.0","11,175.0","11,175.0","11,125.0","","0.23%"
"01/14/2009","11,100.0","11,075.0","11,175.0","11,075.0","","-0.22%"
"01/13/2009","11,125.0","11,200.0","11,275.0","11,125.0","","0.56%"
"01/12/2009","11,062.5","11,087.5","11,177.5","11,037.5","","1.49%"
"01/11/2009","10,900.0","11,050.0","11,050.0","10,950.0","","0.00%"
"01/10/2009","10,900.0","11,050.0","11,050.0","10,950.0","","0.00%"
"01/09/2009","10,900.0","11,050.0","11,050.0","10,950.0","","-0.46%"
"01/08/2009","10,950.0","10,800.0","11,000.0","10,800.0","","1.86%"
"01/07/2009","10,750.0","10,875.0","10,900.0","10,750.0","","-1.83%"
"01/06/2009","10,950.0","11,050.0","11,050.0","10,950.0","","0.23%"
"01/05/2009","10,925.0","11,000.0","11,050.0","10,900.0","","0.23%"
"01/04/2009","10,900.0","10,900.0","10,900.0","10,900.0","","0.00%"
"01/03/2009","10,900.0","10,900.0","10,900.0","10,900.0","","0.00%"
"01/02/2009","10,900.0","10,900.0","10,900.0","10,900.0","","0.00%"
"01/01/2009","10,900.0","10,900.0","10,900.0","10,900.0","","0.00%"
"12/31/2008","10,900.0","10,925.0","10,925.0","10,900.0","","-0.46%"
"12/30/2008","10,950.0","10,950.0","11,050.0","10,925.0","","-1.35%"
"12/29/2008","11,100.0","11,100.0","11,100.0","11,100.0","","0.00%"
"12/28/2008","11,100.0","11,100.0","11,100.0","11,000.0","","0.00%"
"12/27/2008","11,100.0","11,100.0","11,100.0","11,000.0","","0.00%"
"12/26/2008","11,100.0","11,100.0","11,100.0","11,000.0","","1.37%"
"12/25/2008","10,950.0","10,950.0","10,950.0","10,950.0","","0.00%"
"12/24/2008","10,950.0","11,000.0","11,200.0","10,950.0","","-1.13%"
"12/23/2008","11,075.0","11,025.0","11,150.0","10,925.0","","0.41%"
"12/22/2008","11,030.0","11,030.0","11,030.0","10,930.0","","0.73%"
"12/21/2008","10,950.0","11,100.0","11,100.0","10,950.0","","0.00%"
"12/20/2008","10,950.0","11,100.0","11,100.0","10,950.0","","0.00%"
"12/19/2008","10,950.0","11,100.0","11,100.0","10,950.0","","-0.09%"
"12/18/2008","10,960.0","10,840.0","11,025.0","10,840.0","","-0.25%"
"12/17/2008","10,987.5","10,937.5","11,112.5","10,862.5","","-0.57%"
"12/16/2008","11,050.0","10,950.0","11,200.0","10,950.0","","-0.23%"
"12/15/2008","11,075.0","11,100.0","11,150.0","11,075.0","","0.23%"
"12/14/2008","11,050.0","11,100.0","11,150.0","11,025.0","","0.00%"
"12/13/2008","11,050.0","11,100.0","11,150.0","11,025.0","","0.00%"
"12/12/2008","11,050.0","11,100.0","11,150.0","11,025.0","","0.45%"
"12/11/2008","11,000.0","10,975.0","11,026.0","10,975.0","","0.80%"
"12/10/2008","10,912.5","11,137.5","11,137.5","10,787.5","","-0.07%"
"12/09/2008","10,920.0","11,350.0","11,400.0","10,920.0","","-6.27%"
"12/08/2008","11,650.0","11,650.0","11,650.0","11,650.0","","0.00%"
"12/07/2008","11,650.0","11,900.0","11,900.0","11,650.0","","0.00%"
"12/06/2008","11,650.0","11,900.0","11,900.0","11,650.0","","0.00%"
"12/05/2008","11,650.0","11,900.0","11,900.0","11,650.0","","-1.48%"
"12/04/2008","11,825.0","12,100.0","12,100.0","11,825.0","","-1.05%"
"12/03/2008","11,950.0","12,150.0","12,150.0","11,950.0","","-0.83%"
"12/02/2008","12,050.0","12,150.0","12,350.0","12,050.0","","-1.23%"
"12/01/2008","12,200.0","12,150.0","12,350.0","12,000.0","","1.46%"
